,OBJECTID,DIVISION,PREC,LOCATION,ZIP,LONG,LAT
0,1,HARBOR,5,2175 JOHN S. GIBSON BLVD.,90731,-118.289241553,33.7576608970001
1,2,SOUTHEAST,18,145 W. 108TH ST.,90061,-118.275394206,33.9386273800001
2,3,77TH STREET,12,7600 S. BROADWAY,90003,-118.277669655,33.9703073800001
3,4,PACIFIC,14,12312 CULVER BLVD.,90066,-118.419841576,33.9916553210001
4,5,SOUTHWEST,3,1546 MARTIN LUTHER KING JR. BLVD.,90062,-118.305141563,34.0105753400001
5,6,NEWTON,13,3400 S. CENTRAL AVE.,90011,-118.256118891,34.012355905
6,7,CENTRAL,1,251 E. 6TH ST.,90014,-118.247294123,34.0440195
7,8,WEST LOS ANGELES,8,1663 BUTLER AVE.,90025,-118.450779541,34.0437774120001
8,9,HOLLENBECK,4,2111 E. 1ST ST.,90033,-118.213067956,34.045008769
9,10,WILSHIRE,7,4861 VENICE BLVD.,90019,-118.342829525,34.046747682
10,11,OLYMPIC,20,1130 S. VERMONT AVE.,90006,-118.291175911,34.050208529
11,12,RAMPART,2,1401 W. 6TH ST.,90017,-118.266979649,34.056690437
12,13,HOLLYWOOD,6,1358 N. WILCOX AVE.,90028,-118.33066931,34.095833225
13,14,NORTHEAST,11,3353 SAN FERNANDO RD.,90065,-118.249414484,34.119200666
14,15,NORTH HOLLYWOOD,15,11640 BURBANK BLVD.,91601,-118.385859348,34.1716939300001
15,16,VAN NUYS,9, 6240 SYLMAR AVE.,91401,-118.445225709,34.1837432730001
16,17,WEST VALLEY,10,19020 VANOWEN ST.,91335,-118.547454438,34.193397227
17,18,TOPANGA,21,21501 SCHOENBORN ST.,91304,-118.599636542,34.221376654
18,19,FOOTHILL,16,12760 OSBORNE ST.,91331,-118.410417183,34.2530912220001
19,20,DEVONSHIRE,17,10250 ETIWANDA AVE.,91324,-118.531373363,34.256969059
20,21,MISSION,19,11121 N. SEPULVEDA BLVD.,91345,-118.468197808,34.272979397
